"Product","Status","Automotive Recommended","Description","# per Package","GBWP (kHz)","Iq Typical (µA)","Iq Max (µA)","Vos Max (µV)","Operating Voltage Range (V) ","Input Voltage Noise Density (nV/rt(Hz))","PSRR Min (dB)","CMRR Min (dB)","ΔVos/ΔTa (µV/°C)","Ib (pA)","Aol (dB)","PM (deg)","Isc (mA)","Rail-To-Rail","Unity Gain Stable","Slew Rate (V/µS)","EMI Protection","Packages","5K Pricing"
"MCP6441"," In Production "," Yes"," Linear Op Amps"," 1"," 9"," 0.45"," 0.65"," 4500"," ""1.4 - 6.0"""," 190"," 65"," 60"," 2.5"," 1"," 110"," 65"," 22"," In/Out"," Yes"," 0.003","  "," 5/SOT-23 5/SC-70","$0.46"
"MCP6442"," In Production "," Yes"," Linear Op Amps"," 2"," 9"," 0.45"," 0.65"," 4500"," ""1.4 - 6.0"""," 190"," 65"," 60"," 2.5"," 1"," 110"," 65"," 22"," In/Out"," Yes"," 0.003","  "," 8/SOIC 150mil 8/MSOP 8/TDFN","$0.67"
"MCP6444"," In Production "," Yes"," Linear Op Amps"," 4"," 9"," 0.45"," 0.65"," 4500"," ""1.4 - 6.0"""," 190"," 65"," 60"," 2.5"," 1"," 110"," 65"," 22"," In/Out"," Yes"," 0.003","  "," 14/TSSOP 14/SOIC 150mil","$1.20"
"MCP6031"," In Production "," Yes"," Linear Op Amps"," 1"," 10"," 0.9"," 1.35"," 150"," ""1.8 - 5.5"""," 165"," 70"," 70"," 3"," 1"," 115"," 65"," 23"," In/Out"," Yes"," 0.004","  "," 8/PDIP 8/SOIC 150mil 5/SOT-23 8/MSOP 8/DFN","$0.51"
"MCP6033"," In Production "," Yes"," Linear Op Amps"," 1"," 10"," 0.9"," 1.35"," 150"," ""1.8 - 5.5"""," 165"," 70"," 70"," 3"," 1"," 115"," 65"," 23"," In/Out"," Yes"," 0.004","  "," 8/SOIC 150mil 8/MSOP 8/DFN","$0.54"
"MCP6032"," In Production "," Yes"," Linear Op Amps"," 2"," 10"," 0.9"," 1.35"," 150"," ""1.8 - 5.5"""," 165"," 70"," 70"," 3"," 1"," 115"," 65"," 23"," In/Out"," Yes"," 0.004","  "," 8/PDIP 8/SOIC 150mil 8/MSOP","$0.72"
"MCP6034"," In Production "," Yes"," Linear Op Amps"," 4"," 10"," 0.9"," 1.35"," 150"," ""1.8 - 5.5"""," 165"," 70"," 70"," 3"," 1"," 115"," 65"," 23"," In/Out"," Yes"," 0.004","  "," 14/TSSOP 14/SOIC 150mil","$1.28"
"MCP6041"," In Production "," Yes"," Linear Op Amps"," 1"," 14"," 0.6"," 1"," 3000"," ""1.4 - 6.0"""," 170"," 70"," 62"," 1.5"," 1"," 115"," 65"," 21"," In/Out"," Yes"," 0.003","  "," 8/PDIP 8/SOIC 150mil 5/SOT-23 8/MSOP","$0.42"
"MCP6043"," In Production "," Yes"," Linear Op Amps"," 1"," 14"," 0.6"," 1"," 3000"," ""1.4 - 6.0"""," 170"," 70"," 62"," 1.5"," 1"," 115"," 65"," 21"," In/Out"," Yes"," 0.003","  "," 8/PDIP 8/SOIC 150mil 8/MSOP 6/SOT-23","$0.44"
"MCP6042"," In Production "," Yes"," Linear Op Amps"," 2"," 14"," 0.6"," 1"," 3000"," ""1.4 - 6.0"""," 170"," 70"," 62"," 1.5"," 1"," 115"," 65"," 21"," In/Out"," Yes"," 0.003","  "," 8/PDIP 8/SOIC 150mil 8/MSOP","$0.60"
"MCP6044"," In Production "," Yes"," Linear Op Amps"," 4"," 14"," 0.6"," 1"," 3000"," ""1.4 - 6.0"""," 170"," 70"," 62"," 1.5"," 1"," 115"," 65"," 21"," In/Out"," Yes"," 0.003","  "," 14/PDIP 14/TSSOP 14/SOIC 150mil","$1.06"
"MIC7111"," In Production "," No"," Linear Op Amps"," 1"," 25"," 20"," 50"," 7000"," ""1.8 - 11"""," 110"," 65"," 57"," 0"," 0"," 114"," 50"," 100","  "," No"," 0","  "," 5/SOT-23","$0.36"
"MCP6V11"," In Production "," Yes"," Linear High Precision Op Amps-Chopper Stabilized"," 1"," 80"," 7.5"," 11"," 8"," ""1.6 - 5.5"""," 102"," 118"," 119"," 0.05"," 5"," 112"," 70"," 17"," In/Out"," Yes"," 0.03","  "," 5/SOT-23","$0.82"
"MCP6V11U"," In Production "," Yes"," Linear High Precision Op Amps-Chopper Stabilized"," 1"," 80"," 7.5"," 11"," 8"," ""1.6 - 5.5"""," 102"," 118"," 119"," 0.05"," 5"," 112"," 70"," 17"," In/Out"," Yes"," 0.03","  "," 5/SOT-23 5/SC-70","$0.82"
"MCP6V12"," In Production "," Yes"," Linear High Precision Op Amps-Chopper Stabilized"," 2"," 80"," 6.5"," 11"," 8"," ""1.6 - 5.5"""," 102"," 118"," 119"," 0.05"," 5"," 112"," 70"," 17"," In/Out"," Yes"," 0.03","  "," 8/MSOP 8/TDFN","$1.26"
"MCP6V14"," In Production "," Yes"," Linear High Precision Op Amps-Chopper Stabilized"," 4"," 80"," 6.5"," 11"," 8"," ""1.6 - 5.5"""," 102"," 118"," 119"," 0.05"," 5"," 112"," 70"," 17"," In/Out"," Yes"," 0.03","  "," 14/TSSOP","$2.22"
"MCP6421"," In Production "," Yes"," Linear Op Amps"," 1"," 90"," 4.4"," 5.5"," 1000"," ""1.8 - 5.5"""," 95"," 90"," 90"," 3"," 1"," 115"," 55"," 22"," In/Out"," Yes"," 0.05"," Yes"," 5/SOT-23 5/SC-70","$0.39"
"MCP6422"," In Production "," Yes"," Linear Op Amps"," 2"," 90"," 4.4"," 5.5"," 1000"," ""1.8 - 5.5"""," 95"," 90"," 90"," 3"," 1"," 115"," 55"," 22"," In/Out"," Yes"," 0.05"," Yes"," 8/SOIC 150mil 8/MSOP","$0.51"
"MCP6424"," In Production "," Yes"," Linear Op Amps"," 4"," 90"," 4.4"," 5.5"," 1000"," ""1.8 - 5.5"""," 95"," 90"," 90"," 3"," 1"," 115"," 55"," 22"," In/Out"," Yes"," 0.05"," Yes"," 14/TSSOP 14/SOIC 150mil","$0.75"
"MCP6141"," In Production "," Yes"," Linear Op Amps"," 1"," 100"," 0.6"," 1"," 3000"," ""1.4 - 6.0"""," 170"," 70"," 60"," 1.5"," 1"," 115"," 60"," 21"," In/Out"," No"," 0.024","  "," 8/PDIP 8/SOIC 150mil 5/SOT-23 8/MSOP","$0.42"
"MCP6143"," In Production "," Yes"," Linear Op Amps"," 1"," 100"," 0.6"," 1"," 3000"," ""1.4 - 6.0"""," 170"," 70"," 60"," 1.5"," 1"," 115"," 60"," 21"," In/Out"," No"," 0.024","  "," 8/PDIP 8/SOIC 150mil 8/MSOP 6/SOT-23","$0.44"
"MCP6142"," In Production "," Yes"," Linear Op Amps"," 2"," 100"," 0.6"," 1"," 3000"," ""1.4 - 6.0"""," 170"," 70"," 60"," 1.5"," 1"," 115"," 60"," 21"," In/Out"," No"," 0.024","  "," 8/PDIP 8/SOIC 150mil 8/MSOP","$0.60"
"MCP6144"," In Production "," Yes"," Linear Op Amps"," 4"," 100"," 0.6"," 1"," 3000"," ""1.4 - 6.0"""," 170"," 70"," 60"," 1.5"," 1"," 115"," 60"," 21"," In/Out"," No"," 0.024","  "," 14/PDIP 14/TSSOP 14/SOIC 150mil","$1.06"
"MCP606"," In Production "," Yes"," Linear Op Amps"," 1"," 155"," 19"," 25"," 250"," ""2.5 - 6.0"""," 38"," 80"," 75"," 1.8"," 1"," 118"," 62"," 17"," Out"," Yes"," 0.08","  "," 8/PDIP 8/SOIC 150mil 8/TSSOP 5/SOT-23","$0.44"
"MCP608"," In Production "," Yes"," Linear Op Amps"," 1"," 155"," 19"," 25"," 250"," ""2.5 - 6.0"""," 38"," 80"," 75"," 1.8"," 1"," 118"," 62"," 17"," Out"," Yes"," 0.08","  "," 8/PDIP 8/SOIC 150mil 8/TSSOP","$0.58"
