Part Number,Description
OPA2356-EP,Enhanced Product 2.5V 200MHz GBW CMOS dual op amp
OPA4187,0.001-µV/°C Drift low power rail-to-rail Output 36-V operational amplifiers zero-drift series
OPA828,36 V High-precision low-noise low bias current JFET-input 50 MHz Op Amp
OPA2210,2.2-nV/√Hz low-power 36-V operational amplifier
OPA1671,13MHz low-noise Rail-to-Rail Input and Output audio operational amplifier
OPA2156,36-V Ultra-Low Noise Wide-Bandwidth Precision Rail-to-Rail Operational Amplifier
OPA462,High-voltage (180-V) high-current (30-mA) operational amplifier G=1 stable
OPA2189,14MHz MUX-friendly low-noise zero-drift RRO CMOS precision operational amplifier
OPA4388,10MHz CMOS Zero-Drift Zero-Crossover True RRIO Precision Operational Amplifier
OPA855,8 GHz Gain Bandwidth Product Decompensated Transimpedance Amplifier with Bipolar Input
OPA187,1µV Vos 0.005µV/°C rail-to-rail output low-power 36V zero-drift operational amplifier
OPA859,1.8 GHz Unity-Gain Bandwidth 3.3 nV/√Hz FET Input Amplifier
THS6301,Single-Channel G.Fast 106MHz 212MHz DSL Line Driver Amplifier
OPA2388,10MHz CMOS Zero-Drift Zero-Crossover True RRIO Precision Operational Amplifier
OPA858,5.5 GHz Gain Bandwidth Product Decompensated Transimpedance Amplifier with FET Input
INA1620,INA1620 High-Fidelity Audio Operational Amplifier With Integrated Thin-Film Resistors
OPA521,2.5A Narrowband Line Driver
OPA2810,High Performance Low Cost Rail-to-Rail Input/Output HV FET Op Amps
OPA2837,Dual Low-Power Precision Rail-to-Rail Output 105MHz Voltage Feedback Amplifier
THS3491,900-MHz High Power Output Current Feedback Amplifier
OPA197-Q1,36-V Precision Rail-to-Rail Input Output Low Offset Voltage Op Amp
OPA2197-Q1,36-V Precision Rail-to-Rail Input Output Low Offset Voltage Op Amp
LMH5401-SP,Radiation Hardness Assured (RHA) 6.5GHz Ultra Wideband Fully Differential Amplifier
OPA207,High Precision Low Noise Low Power Operational Amplifier
OPA192-Q1,Automotive High-Voltage Rail-to-Rail Input/Output Precision Op Amp E-Trim™ Series
OPA1692,SoundPlus™ Low-Power Low-Noise High-Performance Dual Bipolar-Input Audio Op Amp
TLV8541,TLV8541 500 nA RRIO Nanopower Operational Amplifier
OPA2333P,Industry's smallest low-power high-precision dual Op Amp with >300kHz GBW
OPA2192-Q1,Automotive 36-V Precision RRIO Low Offset Voltage Low Input Bias Current Op Amp With e-trim
OPA1642-Q1,Automotive SoundPlus™ High-Performance JFET-Input Audio Op Amps
OPA375,OPAx375 500uV 10-MHz Low Broadband Noise RRO Operational Amplifier
OPA189,14MHz MUX-Friendly Low-noise Zero-Drift RRO CMOS Precision Operational Amplifier
OPA202,Precision Low-Power Low-Noise Heavy Capacitive Drive 36-V Op Amp with SuperBeta Input
TLV3544-Q1,Automotive 250MHz Rail-to-Rail I/O CMOS Quad Operational Amplifier
TLV8542,500 nA RRIO Nanopower Operational Amplifier
LPV821,650nA Precision Zero-Drift Nanopower Amplifier
OPA837,Low Power Precision 105 MHz Voltage Feedback Op Amp
OPA838,1-mA 300-MHz Gain Bandwidth Voltage-Feedback Op Amp
TLV07,36-V Precision Rail-to-Rail Output Operational Amplifier
THS4561,Low Power 70MHz High Supply Range Fully Differential Amplifier
OPA4196,36V Low Power All-Purpose Amplifier with MUX-Friendly Input
OPA196,36V Low Power All-Purpose Amplifier with MUX-Friendly Input
OPA2196,36V Low Power All-Purpose Amplifier with MUX-Friendly Input
OPA1641-Q1,Automotive Sound-Plus High-Performance JFET-Input Audio Op Amps
OPA145,5.5 MHz High Slew Rate Low-Noise Low-power RRO Precision JFET Operational Amplifier
OPA2180-Q1,Automotive-Qualified 0.1 uV/°C Drift Low Noise RRO 36V Zero-Drift Op Amp
OPA180-Q1,Automotive-Qualified 0.1μV/°C Drift Low-Noise RRO 36V Zero-Drift Op Amp
OPA2188-Q1,Automotive-Qualified 0.03µV/°C Drift 6µV Vos Low-Noise RRO 36V Zero-Drift Op Amp
OPA188-Q1,Automotive-Qualified Precision Low-Noise RRO 36V Zero-Drift Operational Amplifier
TLV4376,TLVx376 5.5 MHz Low-Noise Low Quiescent Current Precision Operational Amplifiers
OPA1678,Low Distortion Low Noise General Purpose Audio Op Amp
