Part Number,Channels,GBW,CMRR,size,price,Dimension (mm),Customer
OPA2356-EP,2,450,80,15,3.83,4.9 x 3,6
OPA4187,4,0.55,140,52,2,6 x 8.65,4
OPA828,1,50,115,29,3,6 x 4.9,5
OPA2210,2,18,140,15,1.85,4.9 x 3,2
OPA1671,1,13,102,4,0.4,2.1 x 2,0
OPA2156,2,25,120,29,1.75,6 x 4.9,4
OPA462,1,6.5,147,19,9.8,3.9 x 4.89,9
OPA2189,2,14,168,29,1.54,6 x 4.9,2
OPA4388,4,10,138,52,2.42,6 x 8.65,0
OPA855,1,8000,100,,2.75,,9
OPA187,1,0.55,114,29,0.87,6 x 4.9,3
OPA859,1,900,84,,1.99,,3
THS6301,1,1100,,16,2.5,4 x 4,8
OPA2388,2,10,138,29,1.48,6 x 4.9,8
OPA858,1,5500,80,,2.5,,5
I1620,2,32,127,16,2.9,4 x 4,0
OPA521,1,3.82,92,25,1.25,5 x 5,8
OPA2810,2,70,100,29,1.7,6 x 4.9,3
OPA2837,2,50,110,4,1.42,2 x 2,7
THS3491,1,900,75,19,6.2,3.9 x 4.89,8
OPA197-Q1,1,10,140,15,0.71,4.9 x 3,4
OPA2197-Q1,2,10,140,15,1.06,4.9 x 3,4
LMH5401-SP,1,6500,72,33,,5.5 x 6,5
OPA207,1,1,140,29,0.75,6 x 4.9,3
OPA192-Q1,1,10,120,15,1.36,4.9 x 3,4
OPA1692,2,5.1,140,29,0.65,6 x 4.9,5
TLV8541,1,0.008,80,8,0.12,2.8 x 2.9,9
OPA2333P,2,0.35,130,,1.1,,5
OPA2192-Q1,2,10,120,15,2.07,4.9 x 3,6
OPA1642-Q1,2,11,126,15,0.95,4.9 x 3,1
OPA375,1,10,120,4,0.39,2.1 x 2,6
OPA189,1,14,168,29,0.96,6 x 4.9,4
OPA202,1,1,148,29,0.5,6 x 4.9,7
TLV3544-Q1,4,250,80,32,1.32,6.4 x 5,2
TLV8542,2,0.008,80,29,0.15,6 x 4.9,7
LPV821,1,0.008,125,8,0.8,2.8 x 2.9,9
OPA837,1,50,110,4,0.88,2.1 x 2,2
OPA838,1,300,105,4,1.25,2.1 x 2,6
TLV07,1,1,120,29,0.21,6 x 4.9,6
THS4561,1,60,110,9,1.98,3 x 3,8
OPA4196,4,2.5,140,52,1.24,6 x 8.65,6
OPA196,1,2.5,140,29,0.55,6 x 4.9,8
OPA2196,2,2.5,140,29,0.83,6 x 4.9,6
OPA1641-Q1,1,11,126,15,0.75,4.9 x 3,9
OPA145,1,5.5,140,29,0.99,6 x 4.9,7
OPA2180-Q1,2,2,114,15,1.24,4.9 x 3,3
OPA180-Q1,1,2,114,15,0.81,4.9 x 3,8
OPA2188-Q1,2,2,114,15,1.65,4.9 x 3,7
OPA188-Q1,1,2,114,15,1.09,4.9 x 3,7
TLV4376,4,5.5,88,32,0.98,6.4 x 5,2
OPA1678,2,16,110,29,0.25,6 x 4.9,9
TLV8544,4,0.008,75,52,0.24,6 x 8.65,8
OPA1679,4,16,110,52,0.4,6 x 8.65,6
OPA4191,4,2.5,140,52,2.29,6 x 8.65,2
OPA4376-Q1,4,5.5,90,32,1.65,6.4 x 5,9
OPA2191,2,2.5,140,29,1.46,6 x 4.9,1
OPA2317-Q1,2,0.3,108,15,0.89,4.9 x 3,9
OPA320-Q1,1,20,114,8,0.94,2.8 x 2.9,3
OPA4277-SP,4,1,140,,,,6
THS4552,2,135,110,22,2.39,4.4 x 5,1
OPA2187,2,0.55,114,29,1.35,6 x 4.9,8
OPA388,1,10,138,29,0.98,6 x 4.9,9
TLV3544,4,200,80,52,1.12,6 x 8.65,0
OPA2836-Q1,2,110,116,15,1.77,4.9 x 3,7
TLV8801,1,0.006,90,8,0.14,2.8 x 2.9,4
LPV801,1,0.008,98,8,0.44,2.8 x 2.9,6
TLV8811,1,0.006,95,8,0.19,2.8 x 2.9,4
LPV811,1,0.008,95,8,0.68,2.8 x 2.9,5
TLV376,1,5.5,88,29,0.46,6 x 4.9,4
TLV2376,2,5.5,88,29,0.67,6 x 4.9,3
OPA4197,4,10,140,52,1.35,6 x 8.65,7
TLV3541,1,200,80,29,0.49,6 x 4.9,6
TLV3542,2,200,80,29,0.77,6 x 4.9,7
TLV8812,2,0.006,98,15,0.25,4.9 x 3,7
LPV812,2,0.008,98,15,0.95,4.9 x 3,3
OPA2325,2,10,114,29,1.1,6 x 4.9,7
OPA857-DIE,1,6800,,,,,3
TLV8802,2,0.006,90,15,0.18,4.9 x 3,8
OPA657-DIE,1,1600,89,,,,9
LPV802,2,0.008,98,15,0.7,4.9 x 3,4
OPA2197,2,10,140,29,0.9,6 x 4.9,0
THS4551,1,135,110,4,1.39,2 x 2,7
OPA317-Q1,1,0.3,108,8,0.65,2.8 x 2.9,4
OPA2626,2,120,117,15,1.35,4.9 x 3,2
TLV4379,4,0.09,100,32,0.5,6.4 x 5,2
LMH2832,2,,56,36,8.95,6 x 6,8
TLV2369,2,0.012,110,29,0.55,6 x 4.9,9
TLV369,1,0.012,110,4,0.35,2.1 x 2,4
TLV2379,2,0.09,100,29,0.35,6 x 4.9,9
TLV521,1,0.006,100,4,0.14,2.1 x 2,7
TLV522,2,0.008,90,15,0.16,4.9 x 3,6
THS6212,1,150,65,20,0.8,4 x 5,6
TLV379,1,0.09,100,4,0.2,2.1 x 2,5
THS3215,1,650,48,16,3.9,4 x 4,8
THS3217,1,800,55,16,4.87,4 x 4,7
OPA197,1,10,140,29,0.6,6 x 4.9,8
TLV333,1,0.35,130,4,0.49,2.1 x 2,1
OPA2376-Q1,2,5.5,90,29,1.12,6 x 4.9,3
TLV2333,2,0.35,130,29,0.69,6 x 4.9,4
THS4541-Q1,1,850,100,9,3.13,3 x 3,2
TLV4333,4,0.35,130,52,0.99,6 x 8.65,3
OPA191,1,2.5,140,29,1.13,6 x 4.9,8
OPA1622,2,32,127,9,2.46,3 x 3,3
OPA2211-EP,2,45,120,,29,,9
OPA1612-Q1,2,40,120,29,3.52,6 x 4.9,0
OPA2625,2,80,117,9,1.5,3 x 3,0
OPA4192,4,10,120,52,2.75,6 x 8.65,4
OPA1688,2,10,120,29,0.6,6 x 4.9,6
OPA4354-Q1,4,250,80,32,1.89,6.4 x 5,9
LMH6401,1,,45,9,9.95,3 x 3,0
OPA625,1,120,115,8,0.99,2.8 x 2.9,8
LPV542,2,0.008,101,15,0.6,4.9 x 3,1
ALM2402-Q1,2,0.6,90,32,1.29,6.4 x 5,8
OPA2192,2,10,120,29,1.75,6 x 4.9,2
DRV2700,1,0.55,,16,2,4 x 4,1
OPA2277-EP,2,1,140,29,5.37,6 x 4.9,7
OPA4277-EP,4,1,140,52,9.2,6 x 8.65,7
LMH5401,1,8000,72,6,7.05,2.5 x 2.5,9
OPA2320-Q1,2,20,114,15,1.48,4.9 x 3,8
LMH3401,1,8000,72,6,8.05,2.5 x 2.5,5
THS4541,1,850,100,4,2.65,2 x 2,9
OPA180,1,2,114,29,0.69,6 x 4.9,8
THS6226A,2,97,,25,2.78,5 x 5,2
OPA830-EP,1,310,80,8,0.56,2.8 x 2.9,2
OPA355-Q1,1,200,80,8,0.97,2.8 x 2.9,3
OPA857,1,6800,,9,2.59,3 x 3,1
OPA192,1,10,120,29,1.15,6 x 4.9,8
AFE032,1,3.8,,49,3.5,7 x 7,3
OPA1S2384,2,100,80,9,1.1,3 x 3,5
OPA2211-HT,2,45,120,42,,6.4 x 6.5,0
OPA1S2385,2,100,80,9,1.1,3 x 3,3
OPA317,1,0.3,108,4,0.55,2.1 x 2,6
OPA4317,4,0.3,108,52,1.05,6 x 8.65,7
OPA4180,4,2,114,52,1.6,6 x 8.65,9
OPA2317,2,0.3,108,29,0.75,6 x 4.9,6
THS4500-EP,1,300,80,15,6.99,4.9 x 3,2
OPA188,1,2,114,29,0.92,6 x 4.9,9
THS4532,2,27,116,22,1.85,4.4 x 5,1
LMH6523,4,1400,35,55,9.26,5.5 x 10,8
THS4531A,1,27,116,4,1.1,2 x 2,6
LMH6619-Q1,2,140,108,29,2.5,6 x 4.9,2
OPA1662-Q1,2,22,100,29,0.89,6 x 4.9,3
OPA1664,4,22,100,52,1.1,6 x 8.65,1
LMH6881,1,2400,40,16,3.71,4 x 4,0
LMH6882,2,2400,40,,5.95,,8
OPA4188,4,2,114,52,2.1,6 x 8.65,7
OPA211-EP,1,45,120,15,10.3,4.9 x 3,2
THS4524-EP,4,95,102,62,5.68,6.4 x 9.7,1
OP07,1,0.6,120,,,,3
OPA549-HIREL,1,0.9,95,90,18,4.5 x 20.02,4
OPA2365-Q1,2,50,120,29,1.12,6 x 4.9,6
OPA2227-EP,2,8,138,29,4,6 x 4.9,7
OPA1654,4,18,110,52,1.09,6 x 8.65,0
LMH6642Q-Q1,1,130,95,8,1.07,2.8 x 2.9,1
AFE030,1,0.67,,49,1.75,7 x 7,8
OPA1662,2,22,100,29,0.75,6 x 4.9,7
OPA1652,2,18,110,29,0.76,6 x 4.9,0
LMH6643Q-Q1,2,130,95,15,1.27,4.9 x 3,1
OPA820-HT,1,800,85,,,,5
OPA2180,2,2,114,29,1.05,6 x 4.9,5
OPA1604,4,35,120,52,1.95,6 x 8.65,6
TLE2141-Q1,1,6,108,29,0.76,6 x 4.9,0
OPA2836,2,120,116,4,1.5,2 x 2,4
AFE031,1,0.67,,49,2,7 x 7,5
OPA2835,2,30,113,4,1.35,2 x 2,6
LMH6551Q-Q1,1,370,80,15,2.02,4.9 x 3,5
OPA320,1,20,114,8,0.8,2.8 x 2.9,9
LMP8672,2,55,115,29,2.52,6 x 4.9,5
OPA365-EP,1,50,120,8,3,2.8 x 2.9,1
LMH6522,4,1400,80,55,9.26,5.5 x 10,5
OPA2188,2,2,114,29,1.4,6 x 4.9,0
LMH6521,2,1400,80,25,5.83,5 x 5,7
OPA564-Q1,1,17,80,133,3.25,10.405000000000001 x 12.825,6
OPA1602,2,35,120,29,1.1,6 x 4.9,0
SM73308,1,3.5,90,4,0.8,2.1 x 2,6
SM73307,2,17,100,15,1.5,4.9 x 3,0
OPA835,1,30,113,4,0.8,2 x 2,6
OPA836,1,120,116,4,0.9,2 x 2,3
THS4521-HT,1,81,105,,,29 mm2,3
TLV2402-Q1,2,0.0055,120,15,1.31,4.9 x 3,4
OPA376-Q1,1,5.5,90,8,0.8,2.8 x 2.9,8
TLC2201-SP,1,1.8,110,79,,8.89 x 8.89,9
THS6226,2,125,,25,2.25,5 x 5,8
OPA2234M,2,0.35,106,29,,6 x 4.9,6
SM73302,1,88,100,8,0.84,2.8 x 2.9,1
OPA4140,4,11,140,52,4.75,6 x 8.65,7
RC4580-Q1,2,12,110,29,0.34,6 x 4.9,1
TLV2434A-Q1,4,0.5,90,52,1.29,6 x 8.65,7
THS770012,1,900,60,16,4.1,4 x 4,5
OPA4209,4,18,130,32,2.9,6.4 x 5,9
OPA209,1,18,130,29,1.1,6 x 4.9,1
OPA2320,2,20,114,29,1.25,6 x 4.9,3
OPA140,1,11,140,29,1.55,6 x 4.9,5
OPA377,1,5.5,90,4,0.4,2.1 x 2,4
OPA2670,1,1400,56,16,1.5,4 x 4,5
OPA2140,2,11,140,29,2.7,6 x 4.9,1
OPA2209,2,18,130,29,1.65,6 x 4.9,0
THS770006,1,2400,60,16,4.1,4 x 4,7
OPA4330,4,0.35,115,52,1.45,6 x 8.65,8
OPA333-Q1,1,0.35,130,8,1.12,2.8 x 2.9,4
OPA1644,4,11,126,52,1.95,6 x 8.65,9
LMP7312,1,1,80,52,3.3,6 x 8.65,6
OPA365-Q1,1,50,120,8,0.8,2.8 x 2.9,2
LMH6517,2,1200,60,25,5.99,5 x 5,3
OPA1641,1,11,126,29,0.64,6 x 4.9,9
OPA1642,2,11,126,29,0.81,6 x 4.9,9
PGA870,1,6500,76,25,4.35,5 x 5,0
LMH6554,1,2500,83,6,3.4,2.5 x 2.5,8
OPA564,1,17,90,133,2.75,10.405000000000001 x 12.825,3
OPA2378,2,0.9,112,8,1.1,2.8 x 2.9,2
LMV841-Q1,1,4.5,112,4,0.95,2.1 x 2,2
OPA211-HT,1,45,120,,,,2
OPA2354A-Q1,2,250,80,15,1.3,4.9 x 3,0
LPV521,1,0.0062,102,4,0.49,2.1 x 2,9
LMV844-Q1,4,4.5,112,52,2.57,6 x 8.65,4
OPA1611,1,40,120,29,1.75,6 x 4.9,2
OPA1612,2,40,120,29,2.75,6 x 4.9,0
LMV842-Q1,2,4.5,112,29,1.56,6 x 4.9,1
OPA2333-HT,2,0.35,130,,,,1
THS6214,2,160,65,34,1.4,4.4 x 7.8,2
OPA378,1,0.9,112,4,0.7,2.1 x 2,6
OPA354A-Q1,1,250,80,8,0.83,2.8 x 2.9,8
OPA2211A,2,45,120,19,5.2,3.9 x 4.89,6
LMH6629,1,4000,87,8,1.78,2.8 x 2.9,3
OPA356-Q1,1,450,80,8,0.83,2.8 x 2.9,5
THS4524,4,95,102,62,3.3,6.4 x 9.7,9
TLV2262A-Q1,2,0.71,83,19,1.02,6.4 x 3,3
TLV2264A-Q1,4,0.71,83,32,1.44,6.4 x 5,0
OPA2333-Q1,2,0.35,130,29,1.77,6 x 4.9,0
THS4521,1,95,102,29,1.21,6 x 4.9,5
THS4522,2,95,102,22,1.96,4.4 x 5,0
OPA653,1,500,66,,2.95,8 mm2,8
OPA659,1,650,70,,2.95,8 mm2,1
OPA369,1,0.012,114,4,0.74,2.1 x 2,6
THS4032-EP,2,200,95,15,8,4.9 x 3,4
LT1014D-EP,4,0.7,117,77,4,7.5 x 10.3,1
THS4509-Q1,1,3000,90,9,4.87,3 x 3,2
LMP2022,2,5,139,29,1.53,6 x 4.9,9
LMH6518,1,900,86,16,5.7,4 x 4,6
LMH6722-Q1,4,400,54,,2.33,,0
OPA330,1,0.35,115,,0.7,4 mm2,8
OPA2330,2,0.35,115,29,1,6 x 4.9,1
OPA340-EP,1,5.5,92,8,2.05,2.8 x 2.9,8
OPA827,1,22,114,29,4.3,6 x 4.9,5
LMH6553,1,900,82,19,3.14,3.9 x 4.89,2
THS6204,2,160,65,34,1.66,4.4 x 7.8,0
OPA2673,2,600,56,16,1.65,4 x 4,5
LMP7716-Q1,2,17,100,15,1.65,4.9 x 3,3
TLE2141-EP,1,6,108,29,1.4,6 x 4.9,3
TLE2024A-Q1,4,1.7,92,77,2.18,7.5 x 10.3,3
LME49726,2,6.25,95,15,0.55,4.9 x 3,3
OPA2695,2,1100,56,29,2.15,6 x 4.9,0
OPA3695,3,1000,56,29,3.39,6 x 4.9,3
THS4511-SP,1,3000,80,,,,5
THS4513-SP,1,3000,90,,,,3
LME49743,4,30,106,32,1.19,6.4 x 5,7
THS4304-SP,1,3000,95,,,,7
LME49724,1,50,102,19,1.42,3.9 x 4.89,5
LMH6612,2,365,98,29,0.95,6 x 4.9,6
LMH6514,1,600,81,16,4.28,4 x 4,9
OPA454,1,2.5,146,19,2.75,3.9 x 4.89,8
OPA2890,2,250,68,29,1.32,6 x 4.9,0
VCA821,1,710,80,52,3.5,6 x 8.65,4
LME49723,2,19,100,29,0.5,6 x 4.9,2
LMH6611,1,365,98,8,0.7,2.8 x 2.9,9
VCA824,1,710,80,52,4.03,6 x 8.65,5
LMV842,2,4.5,112,29,1.31,6 x 4.9,4
LMH6619,2,140,96,29,1.97,6 x 4.9,3
VCA820,1,150,80,52,2.94,6 x 8.65,6
VCA822,1,150,80,52,2.8,6 x 8.65,2
OPA2369,2,0.012,114,8,0.9,2.8 x 2.9,4
LME49721,2,20,93,29,0.67,6 x 4.9,0
OPA211,1,45,120,29,3.45,6 x 4.9,8
OPA2376,2,5.5,90,,0.95,29 mm2,7
OPA4376,4,5.5,90,32,1.4,6.4 x 5,7
LME49600,1,180,0,155,2.53,15.24 x 10.16,3
LMP7732,2,22,120,29,1.05,6 x 4.9,3
TL971,1,12,85,29,0.19,6 x 4.9,6
LMV641,1,10,120,4,0.72,2.1 x 2,0
TLE2022A-Q1,2,1.7,102,29,1.18,6 x 4.9,3
TL972,2,12,85,,0.25,29 mm2,6
LMP7718,2,88,100,29,0.99,6 x 4.9,0
LMV794,2,88,100,29,0.72,6 x 4.9,5
LMP7731,1,22,120,29,0.63,6 x 4.9,5
TLE2027-EP,1,13,131,29,3.92,6 x 4.9,6
OPA376,1,5.5,90,4,0.65,2.1 x 2,7
LMP7708,2,14,130,29,1.45,6 x 4.9,7
LMP7709,4,14,130,52,1.99,6 x 8.65,5
TLV2444A-Q1,4,1.81,75,32,1.27,6.4 x 5,4
OPA2889,2,115,70,29,1.49,6 x 4.9,8
TLE2141M-D,1,6,108,29,0.8,6 x 4.9,1
OPA890,1,260,67,29,0.83,6 x 4.9,6
LMP2021,1,5,139,29,1.14,6 x 4.9,3
LMP7707,1,14,130,29,1.22,6 x 4.9,1
OPA2333A-EP,2,0.35,130,29,5,6 x 4.9,7
LMP2012QML-SP,2,3,130,,,,4
OPA333A-EP,1,0.35,130,4,4.5,2.1 x 2,3
LMV793,1,88,100,29,0.51,6 x 4.9,6
LMP7717,1,88,100,29,0.75,6 x 4.9,5
LMV844,4,4.5,112,52,2.16,6 x 8.65,6
OPA4830,4,280,80,32,1.9,6.4 x 5,2
LME49860,2,55,120,29,1.63,6 x 4.9,2
OPA3832,3,250,72,52,2.02,6 x 8.65,6
OPA3693,3,800,,29,2.8,6 x 4.9,7
LMV841,1,4.5,112,4,0.81,2.1 x 2,1
LMP7721,1,17,100,29,1.88,6 x 4.9,1
MC33078-EP,2,16,100,29,0.8,6 x 4.9,3
OPA2727,2,20,94,29,1,6 x 4.9,4
OPA4727,4,20,94,32,1.4,6.4 x 5,3
OPA4379,4,0.09,100,32,0.8,6.4 x 5,6
OPA2365,2,50,120,29,0.95,6 x 4.9,4
THS4520,1,1200,84,9,2.24,3 x 3,9
LMP2231,1,0.13,97,29,0.71,6 x 4.9,0
LMP2232,2,0.13,97,29,1.03,6 x 4.9,9
LMH6552,1,1500,80,29,3.76,6 x 4.9,5
LMP2234,4,0.13,97,52,1.46,6 x 8.65,4
TL974,4,12,85,,0.3,52 mm2,2
LM4562,2,55,120,,1.16,29 mm2,9
LMH6733,3,1000,55,29,3.21,6 x 4.9,5
OPA365,1,50,120,29,0.65,6 x 4.9,1
OPA336-EP,1,0.1,86,8,2.45,2.8 x 2.9,5
TLV4113-EP,2,2.7,68,15,2.55,4.9 x 3,4
LMP7702,2,2.5,130,29,1.48,6 x 4.9,4
LMP7715,1,17,100,8,0.75,2.8 x 2.9,4
LMP7716,2,17,100,15,1.13,4.9 x 3,7
LMH6321,1,110,,154,2.28,15.24 x 10.1,5
OPA333,1,0.35,130,4,0.95,2.1 x 2,0
OPA2333,2,0.35,130,29,1.5,6 x 4.9,1
LMH6618,1,140,96,8,1.34,2.8 x 2.9,9
LMP7704,4,2.5,130,52,1.99,6 x 8.65,1
LMH6505,1,,,29,2.63,6 x 4.9,0
OPA379,1,0.09,100,4,0.4,2.1 x 2,3
OPA2379,2,0.09,100,29,0.64,6 x 4.9,3
LMP7701,1,2.5,130,29,1.13,6 x 4.9,6
BUF602,1,1000,,29,0.93,6 x 4.9,5
OPA567,1,1.2,80,25,2.3,5 x 5,9
THS4508,1,3000,90,9,5.18,3 x 3,1
THS4511,1,2000,90,9,5.45,3 x 3,5
THS4513,1,2800,90,9,4.47,3 x 3,4
LMP7712,2,17,100,9,1.05,3 x 3,5
